,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
130,Fortuna,US,2020-04-02 19:50:18,40.6,-124.16,55.0,57,1,16.11,clear sky,0.0,0.0
131,Sao Filipe,CV,2020-04-02 19:49:05,14.9,-24.5,75.38,70,15,9.82,few clouds,0.0,0.0
132,Kamaishi,JP,2020-04-02 19:50:19,39.27,141.88,42.04,71,1,7.99,clear sky,0.0,0.0
133,Faanui,PF,2020-04-02 19:49:04,-16.48,-151.75,82.49,76,3,13.67,light rain,0.028346456692913385,0.0
134,Hobyo,SO,2020-04-02 19:49:08,5.35,48.53,81.32,74,63,12.24,broken clouds,0.0,0.0
135,Zhangye,CN,2020-04-02 19:50:20,38.93,100.45,41.85,30,99,2.93,overcast clouds,0.0,0.0
136,Mana,GF,2020-04-02 19:50:20,5.66,-53.78,78.21,88,73,7.4,light rain,0.08937007874015748,0.0
137,Campbell River,CA,2020-04-02 19:46:39,50.02,-125.24,42.8,74,90,5.82,overcast clouds,0.0,0.0
138,Guerrero Negro,MX,2020-04-02 19:49:05,27.98,-114.06,66.78,58,37,15.97,scattered clouds,0.0,0.0
139,Rovinj,HR,2020-04-02 19:50:21,45.08,13.64,48.2,69,0,5.82,clear sky,0.0,0.0
140,Klaksvik,FO,2020-04-02 19:48:44,62.23,-6.59,30.2,80,98,16.11,light snow,0.0,0.006692913385826772
141,Kirakira,SB,2020-04-02 19:50:21,-10.45,161.92,79.81,87,100,29.86,moderate rain,0.4204724409448819,0.0
142,Lagoa,PT,2020-04-02 19:49:15,39.05,-27.98,60.94,91,100,11.21,light rain,0.02874015748031496,0.0
143,Arraial Do Cabo,BR,2020-04-02 19:48:39,-22.97,-42.03,80.6,83,40,13.87,scattered clouds,0.0,0.0
144,Tiksi,RU,2020-04-02 19:48:32,71.69,128.87,-4.9,90,93,2.91,overcast clouds,0.0,0.0
145,Itamaraca,BR,2020-04-02 19:50:23,-7.75,-34.83,84.2,83,75,9.17,broken clouds,0.0,0.0
146,Taltal,CL,2020-04-02 19:48:41,-25.4,-70.48,69.69,65,10,5.06,clear sky,0.0,0.0
147,Port Hardy,CA,2020-04-02 19:50:23,50.7,-127.42,42.8,60,75,5.82,broken clouds,0.0,0.0
148,Carnarvon,AU,2020-04-02 19:48:50,-24.87,113.63,71.6,78,21,17.22,few clouds,0.0,0.0
149,Tuatapere,NZ,2020-04-02 19:48:53,-46.13,167.68,53.01,95,15,3.0,few clouds,0.0,0.0
150,Vaini,TO,2020-04-02 19:48:36,-21.2,-175.2,73.4,94,90,2.24,light rain,0.0,0.0
151,Nizwa,OM,2020-04-02 19:50:24,22.93,57.53,77.68,31,0,5.06,clear sky,0.0,0.0
152,Piacabucu,BR,2020-04-02 19:50:24,-10.41,-36.43,79.66,79,100,7.49,overcast clouds,0.0,0.0
153,Tecoanapa,MX,2020-04-02 19:50:24,16.52,-98.75,88.36,48,0,13.47,clear sky,0.0,0.0
154,Parana,AR,2020-04-02 19:47:36,-31.73,-60.52,79.0,38,0,4.0,clear sky,0.0,0.0
155,Laguna,US,2020-04-02 19:49:28,38.42,-121.42,64.99,25,1,16.11,clear sky,0.0,0.0
156,Aksu,CN,2020-04-02 19:50:24,41.12,80.26,48.96,34,98,4.07,overcast clouds,0.0,0.0
157,Torata,PE,2020-04-02 19:50:25,-17.08,-70.84,66.56,25,33,8.01,light rain,0.019291338582677165,0.0
158,Saint-Philippe,RE,2020-04-02 19:48:20,-21.36,55.77,73.4,94,75,8.05,broken clouds,0.0,0.0
159,Salalah,OM,2020-04-02 19:48:59,17.02,54.09,80.6,83,40,5.82,scattered clouds,0.0,0.0
160,Menongue,AO,2020-04-02 19:50:26,-14.66,17.69,65.66,63,100,3.44,light rain,0.08543307086614173,0.0
161,Yerbogachen,RU,2020-04-02 19:50:26,61.28,108.01,8.4,90,60,6.38,broken clouds,0.0,0.0
162,Provideniya,RU,2020-04-02 19:48:23,64.38,-173.3,26.6,86,90,11.18,snow,0.0,0.0
163,Castro,BR,2020-04-02 19:48:23,-24.79,-50.01,72.84,52,99,3.78,overcast clouds,0.0,0.0
164,Kavaratti,IN,2020-04-02 19:49:07,10.57,72.64,83.46,71,1,6.08,clear sky,0.0,0.0
165,Sao Joao Da Barra,BR,2020-04-02 19:50:27,-21.64,-41.05,84.2,74,20,11.41,few clouds,0.0,0.0
166,Takoradi,GH,2020-04-02 19:48:41,4.88,-1.76,80.64,85,100,5.66,overcast clouds,0.0,0.0
167,Codrington,AU,2020-04-02 19:50:27,-38.27,141.97,59.67,78,80,15.68,broken clouds,0.0,0.0
168,Cherskiy,RU,2020-04-02 19:48:44,68.75,161.3,-0.56,92,86,6.11,overcast clouds,0.0,0.0
169,Te Anau,NZ,2020-04-02 19:50:28,-45.42,167.72,53.22,73,20,1.25,few clouds,0.0,0.0
